X--Trace 1::[interactive: TIME],Y--Trace 1::[V_in: V(2)],,X--Trace 2::[interactive: TIME],Y--Trace 2::[V_out: V(3)]
2.1675300000000006,0.939999999999273,,2.1675300000000006,0.8007501021042671
2.1675700000000004,0.859999999999637,,2.1675700000000004,0.8018196565006677
2.1676500000000005,0.699999999999477,,2.1676500000000005,0.8004366478478294
2.1677500000000007,0.499999999999055,,2.1677500000000007,0.8020077105438502
2.167850000000001,0.2999999999986329,,2.167850000000001,0.8002694814998663
2.167950000000001,0.09999999999821085,,2.167950000000001,0.802174882542047
2.168,0,,2.168,0.8000187084195848
2.16801,0.020000000000131024,,2.16801,-0.7988300762616829
2.1680300000000003,0.06000000000039307,,2.1680300000000003,-0.7983946804188427
2.16807,0.140000000000029,,2.16807,-0.7994521831760003
2.1681500000000002,0.300000000000189,,2.1681500000000002,-0.7980837407218307
2.1682500000000005,0.5000000000006111,,2.1682500000000005,-0.7996387241396625
2.1683500000000007,0.7000000000010331,,2.1683500000000007,-0.7979179212698634
2.168450000000001,0.9000000000014552,,2.168450000000001,-0.7998045491900828
2.1685000000000003,0.999999999999666,,2.1685000000000003,-0.7976691686370161
2.1685100000000004,0.979999999999535,,2.1685100000000004,0.801193277426349
2.1685300000000005,0.939999999999273,,2.1685300000000005,0.8007501283019556
2.1685700000000003,0.859999999999637,,2.1685700000000003,0.801819621020525
2.1686500000000004,0.699999999999477,,2.1686500000000004,0.8004366879414467
2.1687500000000006,0.499999999999055,,2.1687500000000006,0.8020076668136851
2.168850000000001,0.2999999999986329,,2.168850000000001,0.8002695288156606
2.168950000000001,0.09999999999821085,,2.168950000000001,0.8021748316012649
2.169,0,,2.169,0.800018766944777
2.16901,0.020000000000131024,,2.16901,-0.7988300844628727
2.1690300000000002,0.06000000000039307,,2.1690300000000002,-0.7983946766999154
2.16907,0.140000000000029,,2.16907,-0.7994521839311681
2.16915,0.300000000000189,,2.16915,-0.7980837415268464
2.1692500000000003,0.5000000000006111,,2.1692500000000003,-0.7996387220832885
2.1693500000000006,0.7000000000010331,,2.1693500000000006,-0.7979179245037452
2.1694500000000008,0.9000000000014552,,2.1694500000000008,-0.7998045447502318
2.1695,0.999999999999666,,2.1695,-0.7976691758337597
2.1695100000000003,0.979999999999535,,2.1695100000000003,0.8011932804569148
2.1695300000000004,0.939999999999273,,2.1695300000000004,0.8007501282644801
2.16957,0.859999999999637,,2.16957,0.8018196187180686
2.1696500000000003,0.699999999999477,,2.1696500000000003,0.8004366914689455
2.1697500000000005,0.499999999999055,,2.1697500000000005,0.8020076622534578
2.1698500000000007,0.2999999999986329,,2.1698500000000007,0.8002695344292755
2.169950000000001,0.09999999999821085,,2.169950000000001,0.8021748249612797
2.17,0,,2.17,0.8000187755762712
2.17001,0.020000000000131024,,2.17001,-0.7988300882149137
2.17003,0.06000000000039307,,2.17003,-0.7983946691989764
2.17007,0.140000000000029,,2.17007,-0.799452193747051
2.17015,0.300000000000189,,2.17015,-0.7980837305963661
2.1702500000000002,0.5000000000006111,,2.1702500000000002,-0.7996387338786132
2.1703500000000004,0.7000000000010331,,2.1703500000000004,-0.7979179119552525
2.1704500000000007,0.9000000000014552,,2.1704500000000007,-0.7998045580133077
2.1705,0.999999999999666,,2.1705,-0.7976691609693058
2.17051,0.979999999999535,,2.17051,0.8011932855532543
2.1705300000000003,0.939999999999273,,2.1705300000000003,0.8007501025512025
2.17057,0.859999999999637,,2.17057,0.8018196580345993
2.17065,0.699999999999477,,2.17065,0.8004366452016562
