Wavelength (nm),%T
676.00635,87.46452
674.99078,87.34692
674.01117,87.5265
672.995,87.45518
672.01483,87.43276
670.99792,87.41478
670.01715,87.43625
668.99969,87.41071
667.98193,87.35744
667.00018,87.33171
665.98187,87.17735
664.99957,87.20968
664.01691,87.12577
662.99762,87.21474
662.01447,87.00773
660.99457,86.96759
660.01074,86.91861
658.99023,86.83761
658.00586,86.73705
656.98468,86.51038
655.99976,86.46228
655.01453,86.29236
653.99249,86.26146
653.00665,86.15223
651.98401,85.89179
650.99756,85.89342
650.01086,85.68972
648.9873,85.76478
648,85.36266
647.01245,85.20744
645.98798,85.09239
644.99982,84.93162
644.01141,84.69069
642.98608,84.43152
641.99707,84.31542
641.00781,84.24629
640.01819,84.00541
638.9917,83.75582
638.00153,83.66087
637.01111,83.40183
635.98376,83.16647
634.99274,83.03682
634.00146,82.8051
633.00995,82.63192
632.01807,82.40742
630.9892,82.17719
629.99689,81.88605
629.00415,81.6941
628.01123,81.58099
627.01801,81.44875
625.98767,81.14445
624.9939,80.96719
623.99988,80.72688
623.00555,80.57922
622.01093,80.31377
621.01605,80.1993
619.98401,80.01743
618.98865,79.76672
617.99298,79.55457
616.99689,79.41478
616.00067,79.16803
615.00415,79.07294
614.00739,78.86629
613.01031,78.70519
612.013,78.53202
611.01544,78.3997
610.01752,78.23977
608.98242,78.16637
607.98407,77.97816
606.98535,77.86414
605.98645,77.7155
604.98724,77.67967
603.98767,77.47755
602.98798,77.43838
601.98798,77.3447
600.98773,77.2115
599.98718,77.17343
598.98639,77.16437
597.98535,77.08309
596.98407,76.97561
595.98242,76.91641
595.0177,76.92929
594.01556,76.94491
593.01331,76.90637
592.01062,76.86563
591.00775,76.95633
590.00458,76.91028
589.00122,76.92122
587.99756,76.90226
586.99359,77.07401
585.9895,77.09267
584.98499,77.17235
584.01758,77.26342
583.01257,77.28551
582.00745,77.41808
581.00201,77.51969
579.99634,77.64192
578.99036,77.71657
577.98419,77.89721
577.01495,78.10193
576.00824,78.17662
575.00122,78.34921
573.99414,78.5499
572.98663,78.76503
572.01624,78.91953
571.00824,79.12082
570.00006,79.33025
568.99158,79.57914
567.98285,79.78074
567.01123,80.05299
566.00214,80.25206
564.99268,80.50282
563.98303,80.7983
563.01044,81.00089
562.00024,81.33555
560.98981,81.59827
560.0166,81.83309
559.00568,82.14825
557.99457,82.47425
556.98309,82.73618
556.00897,83.03541
554.99707,83.31033
553.98499,83.59157
553.01013,83.83465
551.99744,84.21356
550.98462,84.44753
550.00909,84.7586
548.99579,84.9585
547.98218,85.29826
547.00592,85.52898
545.99188,85.75079
545.0152,86.01647
544.00073,86.3135
542.98596,86.52149
542.00861,86.73734
540.99335,86.93893
540.01556,87.09027
538.99988,87.26228
537.98401,87.48763
537.00549,87.56059
535.98907,87.73634
535.01007,87.76352
533.99329,87.82204
533.01392,87.90808
531.99664,87.97174
531.01678,87.93726
529.99902,87.88432
529.0188,87.89957
528.00049,87.78822
526.98206,87.72232
526.00116,87.6496
524.9823,87.50706
524.00092,87.33871
522.98151,87.19726
521.99969,86.97942
521.0177,86.76173
519.99768,86.46886
519.01526,86.33393
517.99475,85.9981
517.01184,85.67393
515.99097,85.35809
515.00763,84.97588
513.98621,84.70078
513.0025,84.3002
512.01862,83.94486
510.99652,83.54021
510.01221,83.11861
508.98978,82.80198
508.00494,82.3518
506.98203,81.89922
505.99677,81.50211
505.01138,81.04359
503.98788,80.69162
503.00198,80.29961
502.01596,79.84003
500.99173,79.42481
500.00531,79.00333
499.01862,78.65833
497.99374,78.24014
497.00665,77.91596
495.98141,77.47679
494.99393,77.18922
494.00626,76.81851
493.01834,76.57419
491.99222,76.23201
491.00394,75.94186
490.01544,75.70511
488.98874,75.39219
487.99982,75.16644
487.01062,74.96449
485.98331,74.79888
484.99377,74.66971
484.00403,74.54647
483.01413,74.45129
481.98593,74.40074
480.99564,74.28909
480.00516,74.30817
479.0145,74.29192
477.98547,74.31731
476.99435,74.3886
476.00305,74.50822
475.01157,74.59844
473.98169,74.75917
472.98981,74.95547
471.99774,75.16356
471.00552,75.37305
470.01306,75.58445
468.98218,75.89803
467.98938,76.22614
466.99628,76.57542
466.00308,76.90236
465.00964,77.30357
464.01608,77.68507
462.98404,78.14334
461.99008,78.647
460.99588,79.07493
460.00153,79.48531
459.00696,79.95078
458.01224,80.43492
457.01724,80.96122
455.98386,81.44292
454.98859,81.98293
453.99301,82.42912
452.99738,82.92228
452.00156,83.35556
451.00546,83.78291
450.00922,84.16904
449.01282,84.61089
448.01624,84.83716
446.98111,85.16565
445.9841,85.42517
444.98697,85.6356
443.98969,85.75732
442.99219,85.86283
441.99442,85.86528
440.99658,85.82733
439.99857,85.7746
439.00034,85.54398
438.00189,85.28091
437.0033,85.0099
436.00458,84.63265
435.00558,84.22955
434.00647,83.77779
433.00717,83.25592
432.00775,82.64063
431.00806,82.01926
430.00824,81.35995
429.00827,80.63367
428.00806,79.92415
427.00769,79.20591
426.00717,78.49738
425.0065,77.7082
424.00558,76.89027
423.00455,76.12151
422.00339,75.31935
421.00195,74.67475
420.0004,73.95363
418.99866,73.26181
417.9968,72.48875
416.99472,71.93466
415.99246,71.36828
414.99005,70.81465
413.98752,70.29426
